"telepules","tipus","kisterseg","megye","regio","id","iskola_neve","Iskola_tipus","utca"
"Pécs","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",39010535,"Pécsi Püspöki Hittudományi Főiskola","egyházi felsőoktatási intézmény","Hunyadi János utca 11."
"Püspökladány","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",39011383,"Püspökladányi Református Egyházközség","egyházi jogi személy","Kálvin tér 1-3."
"Siklós","HH","Siklósi","Baranya","Dél-Dunántúl",12470040,"Siklós-Máriagyüd Református-Társegyházközség","egyházi jogi személy","Kálvin utca 18."
"Soltvadkert","HH","Kiskőrösi","Bács-Kiskun","Dél-Alföld",12523040,"Soltvadkerti Evangélikus Egyházközség","egyházi jogi személy","Dr. Graetzer István utca 1."
"Somogyvámos","LHHK","Lengyeltóti","Somogy","Dél-Dunántúl",39011236,"Magyarországi Krisna-Tudatú Hívők Közössége Krisna-völgy, IKKB","egyházi jogi személy","Fő utca 38."
"Sopron","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",10084040,"Soproni Evangélikus Egyházközség","egyházi jogi személy","Színház utca 27."
"Szeged","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",39011786,"Gál Ferenc Főiskola","egyházi felsőoktatási intézmény","Dóm tér 6."
"Szeged","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",12356040,"Szeged Kálvin Téri Református Egyházközség","egyházi jogi személy","Kálvin tér 2."
"Szeged","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",10091040,"Szeged-Csanádi Egyházmegye","egyházi jogi személy","Aradi vértanúk tere 2."
"Szendrő","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",39011758,"Szendrői Református Egyházközség","egyházi jogi személy","Fő utca 2"
"Szentendre","nem_hatranyos _besorolasu","Szentendrei","Pest","Közép-magyarország",39012074,"Szentendrei Evangélikus Egyházközség","egyházi jogi személy","Bükkös part 2."
"Szentendre","nem_hatranyos _besorolasu","Szentendrei","Pest","Közép-magyarország",12011040,"Szentendrei Református Egyházközség","egyházi jogi személy","Rákóczi Ferenc utca 14."
"Szentes","HH","Szentesi","Csongrád","Dél-Alföld",39000771,"Szentes Nagytemplomi Református Egyházközség","egyházi jogi személy","Kiss Bálint utca 2."
"Szentmártonkáta","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",39010740,"Szentmártonkátai Református Egyházközség","egyházi jogi személy","Rákóczi út 1."
"Szombathely","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",11058000,"Szombathelyi Egyházmegye","egyházi jogi személy","Berzsenyi tér 3"
"Szombathely","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",39010831,"Szombathelyi Evangélikus Egyházközség","egyházi jogi személy","Körmendi utca 2."
"Székesfehérvár","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",11918040,"Székesfehérvár Református Egyházközség","egyházi jogi személy","Széchenyi utca 16."
"Székesfehérvár","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",30700012,"Székesfehérvári Egyházmegye","egyházi jogi személy","Városház tér 5."
"Szólád","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",39012116,"Szóládi Református Egyházközség","egyházi jogi személy","Kossuth Lajos utca 43."
"Tab","LHH","Tabi","Somogy","Dél-Dunántúl",10074040,"Somogyi Református Egyházmegye","egyházi jogi személy","Kossuth Lajos utca 39."
"Tabajd","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",39010892,"Református Egyházközösség Tabajd","egyházi jogi személy","Kossuth utca 18."
"Tata","nem_hatranyos _besorolasu","Tatai","Komárom-Esztergom","Közép-Dunántúl",39010201,"Tatai Református Egyházközség","egyházi jogi személy","Kocsi utca 15."
"Tihany","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",39011523,"Tihanyi Bencés Apátság","egyházi jogi személy","I. András tér 1."
"Tiszafüred","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",10149040,"Tiszafüredi Református Egyházközség","egyházi jogi személy","Fő utca 5."
"Tiszakeszi","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",39000697,"Tiszakeszi Református Egyházközség","egyházi jogi személy","Szabadság utca 2."
"Tiszakécske","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",11637040,"Tiszakécskei Református Egyházközösség","egyházi jogi személy","Templom tér 2."
"Tiszaújváros","nem_hatranyos _besorolasu","Tiszaújvárosi","Borsod-Abaúj-Zemplén","Észak-Magyarország",39011549,"Tiszaújvárosi Református Egyházközség","egyházi jogi személy","Lévay József út 60."
"Tornyospálca","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",39012021,"Tornyospálcai Református Egyházközség","egyházi jogi személy","Árpád tér 4"
"Tápiószele","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",39011578,"Tápiószele-Tápiószőlős-Újszilvás és Farmosi Református Egyházközség","egyházi jogi személy","Széchenyi út 19."
"Tótkomlós","HH","Orosházai","Békés","Dél-Alföld",11273040,"Tótkomlósi Evangélikus Egyházközség","egyházi jogi személy","Luther utca 1."
"Törökszentmiklós","HH","Törökszentmiklósi","Jász-Nagykun-Szolnok","Észak-Alföld",11224040,"Törökszentmiklósi Református Egyházközség","egyházi jogi személy","Kossuth Lajos utca 114."
"Túrkeve","HH","Mezőtúri","Jász-Nagykun-Szolnok","Észak-Alföld",11611040,"Túrkevei Református Egyházközség","egyházi jogi személy","Kossuth utca 1."
"Vecsés","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",39010031,"Vecsési Református Egyházközség","egyházi jogi személy","Árpád utca 6."
"Veresegyház","nem_hatranyos _besorolasu","Veresegyházi","Pest","Közép-magyarország",39010787,"Veresegyházi Református Egyházközség","egyházi jogi személy","Kálvin tér 2."
"Verőce","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",39010386,"Verőcei Református Egyházközség","egyházi jogi személy","Rákóczi utca 43."
"Veszprém","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",11859040,"Veszprémi Érsekség","egyházi jogi személy","Vár utca 18."
"Veszprém","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",39012142,"Veszprémi Evangélikus Egyházközség","egyházi jogi személy","Kossuth Lajos utca 4."
"Vác","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",39011548,"Vác-Felsővárosi Református Egyházközség","egyházi jogi személy","Dózsa György út 54."
"Vác","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",10563040,"Váci Egyházmegye Ordináriusa","egyházi jogi személy","Migazzi Kristóf tér 1."
"Vác","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",11404040,"Váci Evangélikus Egyházközség","egyházi jogi személy","Eötvös utca 1."
"Váchartyán","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",39011750,"Váchartyáni Református Missziói Egyházközség","egyházi jogi személy","Fő út 65"
"Várpalota","nem_hatranyos _besorolasu","Várpalotai","Veszprém","Közép-Dunántúl",10946040,"Várpalotai Evangélikus Egyházközség","egyházi jogi személy","Thury György tér 1."
"Vésztő","LHH","Szeghalomi","Békés","Dél-Alföld",10411040,"Református Egyházközség","egyházi jogi személy","Bartók B. tér 6"
"Zalaegerszeg","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",11514040,"Notre Dame Női Kanonok- és Tanítórend","egyházi jogi személy","Zárda utca 25."
"Zirc","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",12248040,"Zirci Ciszterci Apátság","egyházi jogi személy","Rákóczi tér 1."
"Zsadány","LHHK","Sarkadi","Békés","Dél-Alföld",39011553,"Zsadányi Református Egyházközség","egyházi jogi személy","Béke út 100."
"Zsámbék","nem_hatranyos _besorolasu","Pilisvörösvári","Pest","Közép-magyarország",12250040,"Premontrei Női Kanonokrend","egyházi jogi személy","Petőfi Sándor utca 13."
"Zsámbék","nem_hatranyos _besorolasu","Pilisvörösvári","Pest","Közép-magyarország",39011367,"Zsámbéki Református Egyházközség","egyházi jogi személy","Petőfi Sándor utca 23."
"Ócsa","nem_hatranyos _besorolasu","Gyáli","Pest","Közép-magyarország",39012016,"Ócsai Baptista Gyülekezet","egyházi jogi személy","Kiss Ernő utca 14"
"Újfehértó","HH","Nagykállói","Szabolcs-Szatmár-Bereg","Észak-Alföld",39011528,"Újfehértói Református Egyházközség","egyházi jogi személy","Petőfi Sándor utca 30."
