"telepules","tipus","kisterseg","megye","regio","id","iskola_neve","Iskola_tipus","utca"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39000878,"Budapest-Északi Református Egyházmegye","egyházi jogi személy","Kálvin tér 8"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39012224,"Budapesti Oktatási Centrum","egyházi jogi személy","Százados út 8-10."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",30100140,"Budapesti Zsidó Hitközség","egyházi jogi személy","Síp utca 12."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39000723,"Budapest-Kelenföldi Református Egyházközség","egyházi jogi személy","Október 23. utca 5"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39012050,"Budapest-Kispest-Központi Református Egyházközség","egyházi jogi személy","Templom tér 19"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39010115,"Budapest-Pestszentimrei Református Egyházközség","egyházi jogi személy","Rákóczi utca 81."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",30100226,"Budapest-Rákoscsabai Református Egyházközség","egyházi jogi személy","Rákoscsaba utca 2."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11463040,"Congregatio Jesu (Angolkisasszonyok Szerzetesrend)","egyházi jogi személy","Váci utca 47."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39010743,"EMIH Egységes Magyarországi Izraelita Hitközség","egyházi jogi személy","Károly körút 20."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11018040,"Esztergom-Budapesti Főegyházmegye Katolikus Iskolai Főhatósága (EKIF)","egyházi jogi személy","Kórház utca 37"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11857040,"Hit Gyülekezete","egyházi jogi személy","Gyömrői út 69."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",10103040,"Isteni Megváltóról Nevezett Nővérek Kongregációja - Magyar Tartomány","egyházi jogi személy","Horánszky utca 17."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39011136,"Jézus Isteni Szívéről Nevezett Karmelita Nővérek","egyházi jogi személy","Fóti út 35/b"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",10117040,"Jézus Társasága Magyarországi Rendtartománya","egyházi jogi személy","Horánszky utca 20."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11834040,"Kispest Rózsatéri Református Egyházközség","egyházi jogi személy","Jáhn F. utca 107."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39010951,"Kolping Oktatási és Szociális Intézményfenntartó Szervezet","egyházi jogi személy","Huba utca 6."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39011268,"Konstantinápolyi Egyetemes Patriarchátus Magyarországi Orthodox Exarchátus","egyházi jogi személy","Toldy F. utca 60."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39010065,"Krisztus Légiója Kongregáció","egyházi jogi személy","Kamaraerdei út 16/k"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",10134040,"Magyar Katolikus Püspöki Konferencia","egyházi jogi személy","Városligeti fasor 45."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39011452,"Magyar Pünkösdi Egyház","egyházi jogi személy","Gizella út 37."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11127040,"Magyarok Nagyasszonya Ferences Rendtartomány","egyházi jogi személy","Margit körút 23."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",10510040,"Magyarországi Autonóm Orthodox Izraelita Hitközség","egyházi jogi személy","Dob utca 35"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39010997,"Magyarországi Baptista Egyház","egyházi jogi személy","Benczúr utca 31."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11926040,"Magyarországi Evangélikus Egyház","egyházi jogi személy","Üllői út 24."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39010413,"Magyarországi Evangéliumi Testvérközösség","vallási tevékenységet végző szervezet","Dankó utca 11"
