"jelentkezesi_hatarido","allas_megnevezese","kozzetevo","tipus","telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"2017-12-15","Óvodavezető","Babarc Község Önkormányzata","Közalkalmazott","Babarc","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"2017-11-26","általános iskolai tanár (fizika, biológia, kémia szak)","Balatonfüredi Tankerületi Központ","Közalkalmazott","Badacsonytomaj","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"2017-12-06","Titkársági ügyintéző","Bagaméri Polgármesteri Hivatal","Köztisztviselő","Bagamér","LHH","Derecske-Létavérte","Hajdú-Bihar","Észak-Alföld",0
"2017-11-22","belső ellenőr","Bajai Szakképzési Centrum","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"2017-11-26","Kollégiumi nevelőtanár","Bajai SZC Radnóti Miklós Kollégiuma","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"2017-11-26","pszichológus","Kecskeméti Tankerületi Központ","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"2017-11-26","gyógytestnevelő","Kecskeméti Tankerületi Központ","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"2017-11-29","konyhai kisegítő","Bajai SZC Bányai Júlia Kereskedelmi és Vendéglátóipari Szakgimnáziuma és Szakközépiskolája","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"2017-12-20","védőnő","Baja Város Önkormányzat","Közalkalmazott","Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"2017-11-26","tanítói","Veszprémi Tankerületi Központ","Közalkalmazott","Bakonybél","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"2017-11-28","Óvodapedagógus","Bakonycsernyei Bóbita Óvoda Egységes Óvoda-Bölcsőde","Közalkalmazott","Bakonycsernye","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",1
