jelentkezesi_hatarido,allas_megnevezese,kozzetevo,munkavegzes_helye,tipus,jelentkezes_statusza,id,van_e_vesszo
2017-11-26,ÜGYVIVŐ-SZAKÉRTŐ,Széchenyi István Egyetem,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdxd3ph3f6,1
2017-11-26,pénzügyi ellenőrzési referens,Magyar Államkincstár Fejér Megyei Igazgatóság,"Fejér megye
                             , Székesfehérvár",Köztisztviselő,,tdxe3osbd6,1
2017-11-26,élelmezésvezető - szakács,Tordas Község Önkormányzat Polgármesteri Hivatal,"Fejér megye
                             , Tordas",Közalkalmazott,,tdxg3o13f3,1
2017-11-26,Tanító,Szigetszentmiklósi Tankerületi Központ,"Pest megye
                             , Szigetszentmiklós",Közalkalmazott,,tdxh8zk5f5,1
2017-11-26,ASP projekt oktatás-támogató referens,Magyar Államkincstár Fejér Megyei Igazgatóság,"Fejér megye
                             , Székesfehérvár",Köztisztviselő,,tdxh4whcg6,1
2017-11-26,nevelő,Józsefvárosi Szociális Szolgáltató és Gyermekjóléti Központ,"Budapest, Budapest",Közalkalmazott,,tdxh3ufxb4,1
2017-11-26,szociális asszisztens,Józsefvárosi Szociális Szolgáltató és Gyermekjóléti Központ,"Budapest, Budapest",Közalkalmazott,,tdxh2qayh1,1
2017-11-26,ÜGYVIVŐ-SZAKÉRTŐ,Széchenyi István Egyetem,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdxj5qavh3,1
2017-11-26,"általános iskolai tanár (fizika, biológia, kémia szak)",Balatonfüredi Tankerületi Központ,"Veszprém megye
                             , Badacsonytomaj",Közalkalmazott,,tdxj3of3f0,1
2017-11-26,Kollégiumi nevelőtanár,Bajai SZC Radnóti Miklós Kollégiuma,"Bács-Kiskun megye
                             , Baja",Közalkalmazott,,tdxj1zjcf6,1
2017-11-26,angol német vagy német-bármely szakos tanár,Érdi Tankerületi Központ,"Pest megye
                             , Biatorbágy",Közalkalmazott,,tdca7zanc4,1
2017-11-26,mentálhigiénés munkatárs,Nógrád Megyei Reménysugár Egyesített Szociális Intézmény,"Nógrád megye
                             , Bercel",Közalkalmazott,,tdca0tana8,1
2017-11-26,Gyermekvédelmi gyám,Fejér Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdcb9r1yg0,1
2017-11-26,Matematika szakos tanár ,Budapesti Műszaki Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdcb7ua7e2,1
2017-11-26,"közétkeztetési ellenőr, egyéb ügyintéző",Nevelési-Oktatási Intézmények Gazdasági Szolgálata (NGSZ),"Csongrád megye
                             , Szeged",Közalkalmazott,,tdcc8efvb2,1
2017-11-26,néptánc szakos tanár,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kecskemét",Közalkalmazott,,tdcc4psnb4,1
2017-11-26,pszichológus,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Baja",Közalkalmazott,,tdcc2zsmi1,1
2017-11-26,pszichológus,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kecskemét",Közalkalmazott,,tdcc1zacf3,1
2017-11-26,"fejlesztő pedagógus, gyógypedagógus",Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Lakitelek",Közalkalmazott,,tdcd9wabc0,1
2017-11-26,tanító,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Lakitelek",Közalkalmazott,,tdcd9ogvf4,1
2017-11-26,biológia - földrajz szakos tanár,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Tiszaalpár",Közalkalmazott,,tdcd8od5c6,1
2017-11-26,gyógytestnevelő tanár,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kunszentmiklós",Közalkalmazott,,tdcd7zj7e0,1
2017-11-26,gyógytestnevelő tanár,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kiskunhalas",Közalkalmazott,,tdcd6uk3d1,1
2017-11-26,Tanító,Külső-Pesti Tankerületi Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdcd5e1ve6,1
2017-11-26,konduktor/gyógypedagógus,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kiskunmajsa",Közalkalmazott,,tdcd5tsmg5,1
2017-11-26,gyógytestnevelő,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Baja",Közalkalmazott,,tdcd4qfcg0,1
2017-11-26,konduktor,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kiskunhalas",Közalkalmazott,,tdcd4ug7h5,1
2017-11-26,gyógytestnevelő tanár,Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Tiszakécske",Közalkalmazott,,tdcd4o1nb3,1
2017-11-26,Műszaki szakoktató (gépészet szakmacsoport),Győri Műszaki Szakképzési Centrum,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdcd3wgxf1,1
2017-11-26,"informatika szakos tanár, informatikus",Kecskeméti Tankerületi Központ,"Bács-Kiskun megye
                             , Kunszállás",Közalkalmazott,,tdcd3zsxc8,1
2017-11-26,Műszaki tanár (gépészet szakirány),Győri Műszaki Szakképzési Centrum,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdcd3ufbe7,1
2017-11-26,takarító,Budapesti Gazdasági Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdcd3ih3g6,1
2017-11-26,EUTR jogi ügyintéző,Nemzeti Élelmiszerlánc-biztonsági Hivatal,"Budapest, Budapest",Köztisztviselő,,tdcd2ehye2,1
2017-11-26,Könyvtáros tanár - bármely szakos tanári végzettséggel,Dunakeszi Tankerületi Központ,"Pest megye
                             , 2120 Dunakeszi",Közalkalmazott,,tdcd2igvd8,1
2017-11-26,testnevelés vagy testnevelés-bármely szakos tanár,Kaposvári Tankerületi Központ,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdce8rsme9,1
2017-11-26,pénzügyi ellenőrzési referens ,Magyar Államkincstár,"Győr-Moson-Sopron megye
                             , Győr",Köztisztviselő,,tdce7ukxh8,1
2017-11-26,gyermekfelügyelő,Cseppkő Gyermekotthoni Központ Szilágyi Erzsébet Gyermekotthona,"Budapest, Budapest",Közalkalmazott,,tdce5ol5e0,1
2017-11-26,"szociális, mentálhigiénés munkatárs",Budapesti Módszertani Szociális Központ és Intézményei,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdce4wfnj8,1
2017-11-26,nevelő,Cseppkő Gyermekotthoni Központ Szilágyi Erzsébet Gyermekotthona,"Budapest, Budapest",Közalkalmazott,,tdce3egbi9,1
2017-11-26,Szakasszisztens,Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdce1zlnh0,1
2017-11-26,gazdálkodási előadó,Mátraverebélyi Közös Önkormányzati Hivatal,"Nógrád megye
                             , Nemti",Köztisztviselő,,tdcg3rd7a6,1
2017-11-26,Szakmai munkatárs,Szociális és Gyermekvédelmi Főigazgatóság,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdci9ojmi8,1
2017-11-27,Jegyző,Erzsébeti Közös Önkormányzati Hivatal,"Baranya megye
                             , Erzsébet",Köztisztviselő,,w1cg8wkci1,1
2017-11-27,műszaki diszpécser,Magyar Tudományos Akadémia Létesítménygazdálkodási Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tsxa7ohma9,1
2017-11-27,Tudományos kutató,MTA Kísérleti Orvostudományi Kutatóintézet,"Pest megye
                             , Budapest",Közalkalmazott,,tsba8ekyg7,1
2017-11-27,osztályvezető főorvos ,Egyesített Szent István és Szent László Kórház - Rendelőintézet,"Budapest, Budapest",Közalkalmazott,,tsmc8u1vd8,1
2017-11-27,világosító,Győri Nemzeti Színház,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,ts3e8pgmc2,1
2017-11-27,jogász,,"Pest megye
                             , Budapest",Köztisztviselő,,ts3j4pscc4,1
2017-11-27,Közterület-felügyelő,Balatonkenesei Polgármesteri Hivatal,"Veszprém megye
                             , Balatonkenese",Köztisztviselő,,ts3j1t15g3,1
2017-11-27,Iskolatitkár,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,ts7g5wkyf0,1
2017-11-27,aljegyző,Kazincbarcika Város Polgármestere,"Borsod-Abaúj-Zemplén megye
                             , Kazincbarcika",Köztisztviselő,,ts7j8qfyd2,1
2017-11-27,"általános államigazgatási, önkormányzati igazgatási, titkársági feladatok",Erdőkertesi Polgármesteri Hivatal,"Pest megye
                             , Erdőkertes",Köztisztviselő,,ts5a7oh7f6,1
2017-11-27,művelődésszervező,Boldog Község Önkormányzata,"Heves megye
                             , Boldog",Közalkalmazott,,ts5a1ug5e9,1
2017-11-27,művelődésszervező,Boldog Község Önkormányzata,"Heves megye
                             , Boldog",Közalkalmazott,,ts5a1ug5e9,1
2017-11-27,intézményvezető,Ceglédi Többcélú Kistérségi Társulás Társulási Tanácsa,"Pest megye
                             , Abony",Közalkalmazott,,ts5a0qs5a6,1
2017-11-27,Közterület-felügyelő,Átány Közös Önkormányzati Hivatal,"Heves megye
                             , Átány",Köztisztviselő,,ts5a0wgcc5,1
2017-11-27,"ápoló/nő, ápoló-gondozó/nő",Fővárosi Önkormányzat Idősek Otthona Gödöllő,"Pest megye
                             , Gödöllő",Közalkalmazott,,ts5d3wdnc6,1
2017-11-27,számviteli előadó,Magyar Állami Operaház,"Budapest, Budapest",Közalkalmazott,,ts5d1es5i9,1
2017-11-27,információbiztonsági felelős,Klebelsberg Központ,"Budapest, Budapest",Köztisztviselő,,ts5e7elnh6,1
2017-11-27,"egészségügyi és oktatási jogi igazgató, ügyvivő szakértői (jogtanácsos) munkakör",Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,ts5e7uhnd3,1
2017-11-27,mezőgazdasági gépész szakoktató,"Kenderesi Mezőgazdasági Szakgimnázium,Szakközépiskola  és Kollégium","Jász-Nagykun-Szolnok megye
                             , Kenderes",Közalkalmazott,,ts5f5ef3b9,1
2017-11-27,Óvodapedagógus,Szentmártonkátai Aprajafalva Óvoda és Konyha,"Pest megye
                             , Szentmártonkáta",Közalkalmazott,,ts5h3ilbf6,1
2017-11-27,tanulmányi osztályvezető-helyettes,Szegedi Tudományegyetem,"Csongrád megye
                             , Szeged",Közalkalmazott,,ts5j9tjyi5,1
2017-11-27,Egészségügyi Központ magasabb vezető,Füzesabony Város Önkormányzat Képviselő-testülete,"Heves megye
                             , Füzesabony",Közalkalmazott,,ts5j9zlba4,1
2017-11-27,tudományos munkatársi,Pannon Egyetem,"Veszprém megye
                             , Veszprém",Közalkalmazott,,ts5j4olca1,1
2017-11-27,tudományos segédmunkatársi,Pannon Egyetem,"Zala megye
                             , Keszthely",Közalkalmazott,,ts5j2wsbb1,1
2017-11-27,óvodapedagógus,Süni Napközi-otthonos Óvoda,"Veszprém megye
                             , Berhida",Közalkalmazott,,ts5j1tj5e0,1
2017-11-27,2 fő óvodapedagógus,Aranyalma Óvoda - Kertvárosi Tagóvoda,"Budapest, Budapest",Közalkalmazott,,ts5j0iaxf0,1
2017-11-27,rezidens,Pest Megyei Flór Ferenc Kórház,"Pest megye
                             , Kistarcsa",Közalkalmazott,,tdya8wlyb8,1
2017-11-27,szakorvos,Pest Megyei Flór Ferenc Kórház,"Pest megye
                             , Kistarcsa",Közalkalmazott,,tdya7qgcf1,1
2017-11-27,műszerész,Pest Megyei Flór Ferenc Kórház,"Pest megye
                             , Kistarcsa",Közalkalmazott,,tdya6zdxb9,1
2017-11-27,óvoda-vezető,Felsőszentmárton Községi Önkormányzat,"Baranya megye
                             , Felsőszentmárton",Közalkalmazott,,tdya5zamh1,1
2017-11-27,dietetikus,Pest Megyei Flór Ferenc Kórház,"Pest megye
                             , Kistarcsa",Közalkalmazott,,tdya5ud5j0,1
2017-11-27,egyetemi docens,Szegedi Tudományegyetem,"Csongrád megye
                             , Hódmezővásárhely",Közalkalmazott,,tdyb3od3h1,1
2017-11-27,főiskolai docens,Szegedi Tudományegyetem,"Csongrád megye
                             , Hódmezővásárhely",Közalkalmazott,,tdyb2qkbc9,1
2017-11-27,Műszaki szolgáltató (dísznövénykertész/kertépítő),Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdyc1ta5f7,1
2017-11-27,Műszaki szolgáltató (udvartakarító),Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdyc1ik5b4,1
2017-11-27,adjunktus / tanársegéd ,Szegedi Tudományegyetem Mezőgazdasági Kar,"Csongrád megye
                             , Hódmezővásárhely",Közalkalmazott,,tdyd9p1mj6,1
2017-11-27,Közösségi koordinátor,Homokháti Kistérség Többcélú Társulása Integrált Szociális és Gyermekjóléti Központ - Zákányszék,"Csongrád megye
                             , Ásotthalom",Közalkalmazott,,tdyg9w13h9,1
2017-11-27,területi védőnő ,Csákvári Önkormányzati Társulás,"Fejér megye
                             , Csákvár",Közalkalmazott,,tdyh7ekcc1,1
2017-11-27,igazgatási ügyintéző,Sajóörösi Közös Önkormányzati Hivatal,"Borsod-Abaúj-Zemplén megye
                             , Sajóörös",Köztisztviselő,,tdyi4odnd1,1
2017-11-27,pénzügyi ügyintéző,Magyar Tudományos Akadémia Létesítménygazdálkodási Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdyi1ilce7,1
2017-11-27,HR toborzási ügyintéző,Magyar Tudományos Akadémia Létesítménygazdálkodási Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdyi0qd7i5,1
2017-11-27,elektromos beruházó - műszaki ellenőr,Magyar Tudományos Akadémia Létesítménygazdálkodási Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdyi0eknc3,1
2017-11-27,tanító,Észak-Budapesti Tankerületi Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdyj6ofba6,1
2017-11-27,általános iskolai tanító,Monori Tankerületi Központ,"Pest megye
                             , Kakucs",Közalkalmazott,,tdxa6pf3c4,1
2017-11-27,konduktor,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdxa2zsyd5,1
2017-11-27,gyógypedagógus,Monori Tankerületi Központ,"Pest megye
                             , Ócsa",Közalkalmazott,,tdxa2ok5j2,1
2017-11-27,angol szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Ócsa",Közalkalmazott,,tdxa1eg5g9,1
2017-11-27,testnevelés szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Ócsa",Közalkalmazott,,tdxa0rh7e0,1
2017-11-27,ének-zene szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdxa0id7b7,1
2017-11-27,gazdálkodási előadó,Sajóörösi Közös Önkormányzati Hivatal,"Borsod-Abaúj-Zemplén megye
                             , Sajóörös",Köztisztviselő,,tdxb7tf7h5,1
2017-11-27,2 fő óvodapedagógus,Tiszalúci Önálló Napköziotthonos Óvoda,"Borsod-Abaúj-Zemplén megye
                             , Tiszalúc",Közalkalmazott,,tdxb2plvb0,1
2017-11-27,óvodapedagógus,Mezőkeresztesi Harmatcsepp Óvoda és Bölcsőde,"Borsod-Abaúj-Zemplén megye
                             , Mezőkeresztes",Közalkalmazott,,tdxb0ia7b6,1
2017-11-27,1 fő szociális gondozó,Budapest Főváros XV. kerületi Önkormányzat Egyesített Szociális Intézmény,"Budapest, Budapest",Közalkalmazott,,tdxe7udnb0,1
2017-11-27,műszaki referens,Hódmezővásárhelyi Tankerületi Központ,"Csongrád megye
                             , Hódmezővásárhely",Köztisztviselő,,tdxf9rl3e7,1
2017-11-27,közterületfelügyelő,Lajosmizsei Közös Önkormányzati Hivatal,"Bács-Kiskun megye
                             , Lajosmizse",Köztisztviselő,,tdxf7wscd3,1
2017-11-27,tanügy-igazgatási és pályázati referens,Karcagi Tankerületi Központ,"Jász-Nagykun-Szolnok megye
                             , Karcag",Köztisztviselő,,tdxg5zhmf2,1
2017-11-27,karbantartó,"Győri Szolgáltatási SZC Krúdy Gyula Gimnáziuma, Két Tanítási Nyelvű Középiskolája, Turisztikai és Vendéglátóipari Szakképző Iskolája","Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdxg5uk5h1,1
2017-11-27,1 fő gyógypedagógus asszisztens,"Győri Szolgáltatási SZC Haller János Általános Iskolája, Szakgimnáziuma és Szakközépiskolája","Győr-Moson-Sopron megye
                             , Mosonmagyaróvár",Közalkalmazott,,tdxg4ts5a5,1
2017-11-27,Aljegyző,Békési Polgármesteri Hivatal,"Békés megye
                             , Békés",Köztisztviselő,,tdxg3ikbd4,1
2017-11-27,titkárnő,Fővárosi Önkormányzat Vázsonyi Vilmos Idősek Otthona,"Budapest, Budapest",Közalkalmazott,,tdxg1t15c0,1
2017-11-27,Karbantartó,Sárospatak Város  Rendelőintézete,"Borsod-Abaúj-Zemplén megye
                             , Sárospatak",Közalkalmazott,,tdxg1udcf9,1
2017-11-27,Területi védőnő,Sárospatak Város  Rendelőintézete,"Borsod-Abaúj-Zemplén megye
                             , Sárospatak",Közalkalmazott,,tdxh9z1vi3,1
2017-11-27,beruházási műszaki lebonyolító,Fonyódi Polgármesteri Hivatal,"Somogy megye
                             , Fonyód",Köztisztviselő,,tdxh8odnj3,1
2017-11-27,pszichológus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Sárbogárd",Közalkalmazott,,tdxh1tk5d9,1
2017-11-27,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Martonvásár",Közalkalmazott,,tdxh0tjbj1,1
2017-11-27,tehetséggondozó koordinátor,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Martonvásár",Közalkalmazott,,tdxi9eabc5,1
2017-11-27,pszichológus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi9odyc0,1
2017-11-27,gyógypedagógus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi8oanj2,1
2017-11-27,Településfejlesztési referens,Lepsényi Közös Önkormányzati Hivatal,"Fejér megye
                             , Lepsény",Köztisztviselő,,tdxi7e17i8,1
2017-11-27,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Gárdony",Közalkalmazott,,tdxi7zgnc6,1
2017-11-27,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Enying",Közalkalmazott,,tdxi6payf5,1
2017-11-27,gyógypedagógus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi5ekyb2,1
2017-11-27,logopédus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi3egxf6,1
2017-11-27,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi3ifbd2,1
2017-11-27,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdxi2waba9,1
2017-11-27,családsegítő,Sárvár Térségi Gyermekjóléti Szolgálat,"Vas megye
                             , Gyermekjóléti Szolgálat ellátási területe",Közalkalmazott,,tdxi2tkvg6,1
2017-11-27,tehetséggondozó koordinátor,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Mór",Közalkalmazott,,tdxi2z1mi5,1
2017-11-27,személyi segítő (ápoló),Mozgássérült Emberek Rehabilitációs Központja,"Budapest, Budapest",Közalkalmazott,,tdxi1ianh6,1
2017-11-27,szociális segítő,Budapesti Módszertani Szociális Központ és Intézményei,"Budapest, Budapest",Közalkalmazott,,tdxj7ikxg3,1
2017-11-27,gazdasági csoportvezető,"Toldi Miklós Élelmiszeripari Szakgimnázium, Szakközépiskola és Kollégium","Pest megye
                             , Nagykáta",Közalkalmazott,,tdxj7o1bi2,1
2017-11-27,gyermekfelügyelő,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Penc",Közalkalmazott,,tdxj6ejbf9,1
2017-11-27,testnevelés - sportszakmai középiskolai tanár,Győri Szolgáltatási SZC Móra Ferenc Általános Iskolája és Szakgimnáziuma,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdxj6rl3h8,1
2017-11-27,pszichológus,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Érd-Dabas-Göd",Közalkalmazott,,tdxj6zsyj7,1
2017-11-27,nevelő,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Dabas",Közalkalmazott,,tdxj6ufbb6,1
2017-11-27,gyermekvédelmi asszisztens,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Érd",Közalkalmazott,,tdxj6ih3d5,1
2017-11-27,földrajz - informatika szakos tanár,Győri Szolgáltatási SZC Hunyadi János Középiskolája,"Győr-Moson-Sopron megye
                             , Csorna",Közalkalmazott,,tdxj6olyf4,1
2017-11-27,pszichológus,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Monor, Nagykáta, Valkó",Közalkalmazott,,tdxj5igva7,1
2017-11-27,Matematika-fizika szakos középiskolai tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Cegléd",Közalkalmazott,,tdxj4efni3,1
2017-11-27,Építőipari mérnök tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Cegléd",Közalkalmazott,,tdxj4id7h9,1
2017-11-27,1 fő vizuális kultúra/ rajz szakos tanár,Nyíregyházi Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Kállósemjén",Közalkalmazott,,tdxj1qj5g0,1
2017-11-27,Angol nyelvtanár és bármely más szakos tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Monor",Közalkalmazott,,tdxj0tdna9,1
2017-11-27,Informatika szakos tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Monor",Közalkalmazott,,tdca9wjbc3,1
2017-11-27,óvodapedagógus,Perkátai Általános Művelődési Központ,"Fejér megye
                             , Perkáta",Közalkalmazott,,tdca9el3e2,1
2017-11-27,Magyar nyelv és irodalom szakos tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Monor",Közalkalmazott,,tdca9zfvi0,1
2017-11-27,Matematika szakos tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Monor",Közalkalmazott,,tdca8qdmh6,1
2017-11-27,Testnevelés szakos tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Monor",Közalkalmazott,,tdca8zs5f2,1
2017-11-27,Közgazdásztanár - Vendéglátás szakirány,Ceglédi Szakképzési Centrum,"Pest megye
                             , Monor",Közalkalmazott,,tdca8ol5c9,1
2017-11-27,jegyző,Kölesdi Közös Önkormányzati Hivatal,"Tolna megye
                             , Kölesd",Köztisztviselő,,tdca7rlca5,1
2017-11-27,Óvodapedagógus,Szentlőrinci Kistérségi Óvoda és Bölcsőde,"Baranya megye
                             , Szabadszentkirály",Közalkalmazott,,tdca7ud7e3,1
2017-11-27,fejlesztőpedagógus,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Monor, Nagykáta, Valkó",Közalkalmazott,,tdca7ihxg2,1
2017-11-27,gyermekfelügyelő,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Valkó",Közalkalmazott,,tdca6wdxd9,1
2017-11-27,nevelő,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Monor",Közalkalmazott,,tdca6usbb5,1
2017-11-27,óvodapedagógus,Pilisjászfalu Somvirág Egységes Óvoda-Bölcsőde,"Pest, Pilisjászfalu",Közalkalmazott,,tdca6if3d4,0
2017-11-27,Informatika és bármely szakos tanár,Ceglédi Szakképzési Centrum,"Pest megye
                             , Nagykáta",Közalkalmazott,,tdca5ogmc5,1
2017-11-27,Takarító,Magyar Gyula Kertészeti Szakképző Iskola FM,"Budapest, Budapest",Közalkalmazott,,tdca4esni2,1
2017-11-27,esetmenedzser,Szociális Szolgáltató Központ - Szentlőrinc,"Baranya megye
                             , Szentlőrinc",Közalkalmazott,,tdca4rf5a1,1
2017-11-27,tehetséggondozó koordinátor,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Enying",Közalkalmazott,,tdca3u1bd0,1
2017-11-27,pszichológus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdca2ulya2,1
2017-11-27,szociális gondozó,Őrbottyán Város polgármestere,"Pest megye
                             , Őrbottyán",Közalkalmazott,,tdca2pdme0,1
2017-11-27,óvodapedagógus,Kispesti Tarka-barka Óvoda,"Budapest, Budapest",Közalkalmazott,,tdca1zgcf5,1
2017-11-27,logopédus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Sárbogárd",Közalkalmazott,,tdca0qfnd1,1
2017-11-27,családsegítő,"Miskolci Egyesített Szociális, Egészségügyi és Gyermekjóléti Intézmény","Borsod-Abaúj-Zemplén megye
                             , Miskolc",Közalkalmazott,,tdca0ikbg5,1
2017-11-27,logopédus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Enying",Közalkalmazott,,tdcb9ej3e1,1
2017-11-27,angol szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdcb9ijyd7,1
2017-11-27,közterületkarbantartó munkavezető (csoportvezető II.),Szántód Község Képviselőtestülete,"Somogy megye
                             , Szántód",Közalkalmazott,,tdcb8qamh5,1
2017-11-27,testnevelés szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdcb8wd5j4,1
2017-11-27,logopédus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdcb8t15f1,1
2017-11-27,informatika-matematika szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdcb8igma9,1
2017-11-27,általános iskolai tanító,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdcb7wsng6,1
2017-11-27,általános iskolai tanító,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdcb7ef7i5,1
2017-11-27,nevelő,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Valkó",Közalkalmazott,,tdcb7rjca4,1
2017-11-27,délutános takarító,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdcb7tlnc3,1
2017-11-27,pszichológus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Enying",Közalkalmazott,,tdcb7ifxg1,1
2017-11-27,nevelő,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Nagykőrös",Közalkalmazott,,tdcb7ohbi0,1
2017-11-27,pedagógiai asszisztens,Észak-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdcb6waxd8,1
2017-11-27,gondnok (délutános),Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdcb6edbf7,1
2017-11-27,általános iskolai tanító,Monori Tankerületi Központ,"Pest megye
                             , Gyál",Közalkalmazott,,tdcb6rg3h6,1
